Date,Time,Beyond TPW Gradient,Quadrant Relative to Convection,Case,Primary Convective Type,Region,500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg],500m Wind Speed [kts],500m Wind Direction [deg],Upper Level Cap Wind Speed [kts],Upper Level Cap Wind Direction [deg],DAWN PBL Speed Shear [kts],DAWN PBL Directional Shear [deg],DAWN Mid Layer Speed Shear [kts],DAWN Mid Layer Directional Shear [deg],DAWN Upper Layer Speed Shear [kts],DAWN Upper Layer Directional Shear [deg],500m Bottom Cap Profile Height [m],Upper Level Cap Height [m],Environment Falling In,Environment Falling In Ambiguous,Convective Lifecycle
20170611,174706,,Southeast,13,Organized,Gulf,18.7,290.97,22.15,146.11,12.76,203.62,--,--,--,--,--,--,525.05,7637.6,Clear Near,--,--
20170611,175039,,Southeast,13,Organized,Gulf,21.59,282.29,18.72,142.2,14.02,223.35,--,--,--,--,--,--,499.19,7606.1,Clear Near,--,--
20170611,175122,,Southeast,13,Organized,Gulf,19.97,277.8,18.51,139.69,13.82,214.39,--,--,--,--,--,--,513.73,7634.1,Clear Near,--,--
20170611,175204,,Southeast,13,Organized,Gulf,22.57,287.89,22.98,140.43,12.77,212.41,--,--,--,--,--,--,490.06,7635.4,Clear Near,--,--
20170611,175247,,Southeast,13,Organized,Gulf,22.26,277.1,18.33,133.26,13.14,221.7,--,--,--,--,--,--,485.16,7633.6,Clear Near,--,--
20170611,175330,,Southeast,13,Organized,Gulf,20.14,278.45,17.82,138.33,13.13,217.94,--,--,--,--,--,--,499.61,7636.6,Clear Near,--,--
20170611,175412,,Southeast,13,Organized,Gulf,22.96,282.61,20.54,140.34,14.25,220.7,--,--,--,--,--,--,500.53,7637.3,Clear Near,--,--
20170611,175455,,Southeast,13,Organized,Gulf,23.72,287.29,20.14,141.96,13.51,229.28,--,--,--,--,--,--,516.25,7633.8,Clear Near,--,--
20170611,175538,,Southeast,13,Organized,Gulf,23.15,273.44,17.34,131.22,14.22,225.08,--,--,--,--,--,--,483.49,7633.7,Clear Near,--,--
20170611,175829,,Southeast,13,Organized,Gulf,21.4,286.85,19.78,151.55,15.73,224.66,--,--,--,--,--,--,510.62,7623.5,Clear Near,--,--
20170611,175912,,Southeast,13,Organized,Gulf,16.25,279.5,19.49,159.13,17.99,210.31,--,--,--,--,--,--,515.98,7597.9,Clear Near,--,--
20170611,180037,,Southeast,13,Organized,Gulf,17.97,267.66,17.53,155.69,19.86,212.73,--,--,--,--,--,--,488.57,7626,Clear Near,--,--
20170611,180743,,Southwest,13,Organized,Gulf,11.24,305.76,15.92,187.2,14.44,230.33,--,--,--,--,--,--,484.19,7622.8,Clear Near,--,--
20170611,180952,Yes,Southwest,13,Organized,Gulf,15.21,266.65,11.43,161.09,16.39,224.43,--,--,--,--,--,--,511.93,7617.3,Clear Near,--,--
20170611,181034,Yes,Southwest,13,Organized,Gulf,15.99,259.1,7.95,163.98,17.22,231.7,--,--,--,--,--,--,506.31,7617.5,Clear Near,--,--
20170611,181200,Yes,Southwest,13,Organized,Gulf,17.28,244.97,7.93,158.14,19.41,220.9,--,--,--,--,--,--,507.67,7615.1,Clear Near,--,--
20170611,181242,Yes,Southwest,13,Organized,Gulf,15.4,258.28,12.58,166.87,19.65,218.47,--,--,--,--,--,--,516.07,7615.2,Clear Near,--,--
20170611,181325,Yes,Southwest,13,Organized,Gulf,14.71,261,7.66,167.02,16.11,232.69,--,--,--,--,--,--,493.47,7616.3,Clear Near,--,--
20170611,181616,Yes,Southwest,13,Organized,Gulf,21.27,253.01,4.89,122.53,18.47,241.39,--,--,--,--,--,--,489.17,7614.4,Clear Near,--,--
20170611,181659,Yes,Southwest,13,Organized,Gulf,22.62,242.8,4.1,103.99,19.72,234.93,--,--,--,--,--,--,492.13,7613.9,Clear Near,--,--
20170611,181741,Yes,Southwest,13,Organized,Gulf,21.05,251.01,4.61,96.41,17,244.33,--,--,--,--,--,--,497.65,7607.6,Clear Near,--,--
20170611,181952,Yes,Southwest,13,Organized,Gulf,21.24,259.09,4.97,102.75,16.81,252.28,--,--,--,--,--,--,504.45,7608,Clear Near,--,--
20170611,182117,Yes,Southwest,13,Organized,Gulf,19.38,249.45,6.35,127.46,16.9,230.88,--,--,--,--,--,--,502.37,7610.3,Clear Near,--,--
20170611,183614,,Southeast,13,Organized,Gulf,23.39,261.75,20.96,145.7,23.58,208.73,--,--,--,--,--,--,503.78,7610.5,Clear Near,--,--
20170611,183657,,Southeast,13,Organized,Gulf,31.88,258.02,19.69,141.86,29.16,220.72,--,--,--,--,--,--,504.82,7638.5,Clear Near,--,--
20170611,183740,,Southeast,13,Organized,Gulf,29.79,259.42,20.85,138.39,26.11,216.24,--,--,--,--,--,--,507.47,7636.9,Clear Near,--,--
20170611,185111,Yes,Southwest,13,Organized,Gulf,17.67,236.99,1.6,69.41,16.11,235.77,--,--,--,--,--,--,508.9,7637.4,Clear Near,--,--
20170611,185402,Yes,Southwest,13,Organized,Gulf,16.39,229.01,1.6,105.49,15.57,224.1,--,--,--,--,--,--,486.9,7630.5,Clear Near,--,--
20170611,185445,Yes,Southwest,13,Organized,Gulf,15.63,229.86,3.07,51.15,12.56,229.54,--,--,--,--,--,--,488.62,7637.5,Clear Near,--,--
20170611,185528,Yes,Southwest,13,Organized,Gulf,16.14,250.96,2.56,73.83,13.58,250.42,--,--,--,--,--,--,513.28,7636.2,Clear Near,--,--
20170611,185611,Yes,Southwest,13,Organized,Gulf,15.59,238.1,3.34,71.78,12.36,234.44,--,--,--,--,--,--,485.47,7628.3,Clear Near,--,--
20170611,185653,Yes,Southwest,13,Organized,Gulf,20.08,252.21,3.94,85.56,16.27,249,--,--,--,--,--,--,487.36,7620.6,Clear Near,--,--
20170611,185736,Yes,Southwest,13,Organized,Gulf,20.56,242.18,6.84,52.64,13.86,246.88,--,--,--,--,--,--,513.74,7620.9,Clear Near,--,--
20170611,195035,Yes,Northwest,13,Organized,Gulf,18.24,250.57,6.6,107.65,13.57,233.5,--,--,--,--,--,--,510.4,7634.1,Clear Near,--,--
20170611,195242,Yes,Northwest,13,Organized,Gulf,20.84,255.12,8.88,104.1,13.77,236.91,--,--,--,--,--,--,508.99,7606.8,Clear Near,--,--
20170611,195325,Yes,Northwest,13,Organized,Gulf,19.35,257.7,9.29,107.11,12.14,235.64,--,--,--,--,--,--,485.43,7608.8,Clear Near,--,--
20170611,202943,,Southeast,13,Organized,Gulf,39.55,265.51,22.81,144.81,34.11,230.42,--,--,--,--,--,--,491.24,7626,Clear Near,--,--
20170611,203607,,Southeast,13,Organized,Gulf,28.27,256.31,20.21,150.91,30.07,215.93,--,--,--,--,--,--,497.93,7635.2,Clear Near,--,--
20170611,203650,,Southeast,13,Organized,Gulf,22.28,254.28,19.78,148.94,25.58,206.07,--,--,--,--,--,--,514.6,7638.6,Clear Near,--,--
20170611,203732,,Southeast,13,Organized,Gulf,24.97,263.15,18.86,155.46,26.32,220.1,--,--,--,--,--,--,488.5,7608.3,Clear Near,--,--
20170611,203815,,Southeast,13,Organized,Gulf,21.57,252.94,15.66,157.83,25.5,215.24,--,--,--,--,--,--,511.47,7608.3,Clear Near,--,--
20170611,203858,,Southeast,13,Organized,Gulf,23.36,254.26,17,146.47,24.33,212.57,--,--,--,--,--,--,486.25,7609.7,Clear Near,--,--
20170611,203940,,Southeast,13,Organized,Gulf,18.36,258.47,15.32,152.82,20.5,212.44,--,--,--,--,--,--,514.2,7609.2,Clear Near,--,--
20170611,204023,,Southeast,13,Organized,Gulf,16.54,247.49,14.31,156.28,21.64,206.1,--,--,--,--,--,--,497.53,7611.8,Clear Near,--,--
20170611,204106,,Southeast,13,Organized,Gulf,16.43,236.78,13.46,152.35,22.23,199.73,--,--,--,--,--,--,505.88,7616.2,Clear Near,--,--
20170611,204148,,Southeast,13,Organized,Gulf,16.31,243.69,15.77,149.52,21.85,197.65,--,--,--,--,--,--,498.63,7616.2,Clear Near,--,--
20170611,204231,,Southeast,13,Organized,Gulf,15.52,236.04,13.64,144.13,20.32,193.9,--,--,--,--,--,--,489.21,7615.5,Clear Near,--,--
20170611,204314,,Southeast,13,Organized,Gulf,13.51,243.43,12.74,150.52,18.1,198.75,--,--,--,--,--,--,494.25,7618.2,Clear Near,--,--
20170611,204605,,Southeast,13,Organized,Gulf,17.87,261.25,18.85,124.38,13.53,188.95,--,--,--,--,--,--,489.64,7613.8,Clear Near,--,--
20170611,204648,,Southeast,13,Organized,Gulf,14.92,238.27,14.6,125.37,16.32,182.75,--,--,--,--,--,--,493.52,7616.7,Clear Near,--,--
20170611,204730,,Southeast,13,Organized,Gulf,14.68,242.34,12.75,126.12,14.58,190.69,--,--,--,--,--,--,485.54,7616.4,Clear Near,--,--
20170611,204813,,Southeast,13,Organized,Gulf,18.02,239.64,14.71,114.78,15.43,188.15,--,--,--,--,--,--,513.91,7614.7,Clear Near,--,--
20170611,204856,,Southeast,13,Organized,Gulf,19.54,241.13,16.99,121.09,18.39,188.01,--,--,--,--,--,--,495.35,7616,Clear Near,--,--
20170611,204939,,Southeast,13,Organized,Gulf,21.02,254.51,19.79,124.16,17.17,193.06,--,--,--,--,--,--,499.01,7617.4,Clear Near,--,--
20170611,205021,,Southeast,13,Organized,Gulf,18.71,245.54,16.51,124.9,17.55,191.48,--,--,--,--,--,--,508.27,7613.8,Clear Near,--,--
20170611,205104,,Southeast,13,Organized,Gulf,17.66,247.33,15.35,119.48,14.66,191.56,--,--,--,--,--,--,503.21,7633.3,Clear Near,--,--
20170611,205147,,Southeast,13,Organized,Gulf,17.06,252.9,16.69,127.46,15.47,191.41,--,--,--,--,--,--,492.31,7632.9,Clear Near,--,--
20170611,205229,,Southeast,13,Organized,Gulf,24.26,257.97,18.71,119.92,16.23,207.55,--,--,--,--,--,--,509.94,7633.2,Clear Near,--,--
20170611,205312,,Southeast,13,Organized,Gulf,21.15,270.28,19.53,127.04,12.92,205.52,--,--,--,--,--,--,500.53,7634.1,Clear Near,--,--
20210824,185824,Yes,Northwest,16,Organized,Caribbean,14.3,234.51,23.15,82.22,12.42,114.58,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,185845,Yes,Northwest,16,Organized,Caribbean,10.71,208.35,21.52,85.99,18.19,115.8,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,185906,Yes,Northwest,16,Organized,Caribbean,12.34,240.69,23.5,88.39,13.82,112.91,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,185926,Yes,Northwest,16,Organized,Caribbean,13.08,244.34,24.4,88.19,13.51,111.24,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,185947,Yes,Northwest,16,Organized,Caribbean,10.92,228.67,24.75,88.7,17.83,111.91,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190049,Yes,Northwest,16,Organized,Caribbean,12.04,208.79,19.09,69.73,12.73,108.03,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190110,Yes,Northwest,16,Organized,Caribbean,33.84,245.19,16.31,76.36,18.12,235.14,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190131,Yes,Northwest,16,Organized,Caribbean,7.57,186.08,20.41,84.95,20.35,106.35,--,--,--,--,--,--,495,7590,Clear Near,--,--
20210824,190151,Yes,Northwest,16,Organized,Caribbean,16.99,84.87,8.77,177.5,18.76,112.7,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190212,Yes,Northwest,16,Organized,Caribbean,26.15,247.77,21.19,94.33,11.9,195,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190233,Yes,Northwest,16,Organized,Caribbean,26.84,210.84,24.73,87.72,24.63,153.61,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190254,Yes,Northwest,16,Organized,Caribbean,9.85,215.18,22.8,75.35,16.54,97.95,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190314,Yes,Northwest,16,Organized,Caribbean,12.67,189.73,25.66,63.63,20.88,93,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190335,Yes,Northwest,16,Organized,Caribbean,21.94,198.52,25.7,68.86,20.55,124.17,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190356,Yes,Northwest,16,Organized,Caribbean,11.48,290.22,26.24,69.2,19.13,46.01,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190417,Yes,Northwest,16,Organized,Caribbean,15.53,185.09,23,71.13,21.91,111.5,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190437,Yes,Northwest,16,Organized,Caribbean,30.98,193.06,25.1,60.76,23.31,140.27,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190458,Yes,Northwest,16,Organized,Caribbean,32.43,194.02,25.58,72.51,28.96,145.17,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190519,Yes,Northwest,16,Organized,Caribbean,23.4,199.56,24.82,69.58,20.43,130.96,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190540,Yes,Northwest,16,Organized,Caribbean,23.33,188.49,24.96,64.82,22.84,123.05,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190600,Yes,Northwest,16,Organized,Caribbean,9.14,212.41,23.38,67.1,16.7,85.26,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190621,Yes,Northwest,16,Organized,Caribbean,20.08,208.5,26.88,56.27,13.06,102.03,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190642,Yes,Northwest,16,Organized,Caribbean,25.29,203.53,26.05,66.13,18.66,132.65,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190703,Yes,Northwest,16,Organized,Caribbean,34.43,205.89,27.23,60.63,19.65,153.73,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190723,Yes,Northwest,16,Organized,Caribbean,5.55,274.34,22.32,148.35,19.57,161.62,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190744,Yes,Northwest,16,Organized,Caribbean,9.2,262.95,23.25,104.77,15.1,117.85,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190805,Yes,Northwest,16,Organized,Caribbean,15.06,254.33,28.34,96.17,15.41,117.49,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190826,Yes,Northwest,16,Organized,Caribbean,23.15,222.33,28.87,83.87,19.21,136.94,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190846,Yes,Northwest,16,Organized,Caribbean,22.62,218.57,27.7,71.53,15.08,126.19,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190907,Yes,Northwest,16,Organized,Caribbean,21.49,216.41,26.86,70.57,15.1,123.61,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190928,Yes,Northwest,16,Organized,Caribbean,23.17,211.79,26.88,62.34,13.67,121.88,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,190949,Yes,Northwest,16,Organized,Caribbean,20.74,215.58,30.83,80.48,21.79,122.68,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191009,Yes,Northwest,16,Organized,Caribbean,22.66,225.22,25.37,63.31,8.01,124.77,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191030,Yes,Northwest,16,Organized,Caribbean,25.53,221.5,27.17,68,12.19,137.22,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191051,Yes,Northwest,16,Organized,Caribbean,21.78,217.74,28.28,69.31,14.99,118.84,--,--,--,--,--,--,495,7590,Clear Near,--,--
20210824,191112,Yes,Northwest,16,Organized,Caribbean,23.71,231.68,24.78,66.39,6.3,139.33,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191132,Yes,Northwest,16,Organized,Caribbean,37.1,234.89,26.14,70.73,13.92,204.03,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191153,Yes,Northwest,16,Organized,Caribbean,22.3,173.12,25.52,64.64,28.07,113.54,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191214,Yes,Northwest,16,Organized,Caribbean,20.9,201.97,24.43,63.28,16.33,120.94,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191235,Yes,Northwest,16,Organized,Caribbean,18.92,229.06,24.34,66.12,8.36,107.74,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191255,Yes,Northwest,16,Organized,Caribbean,18.12,221.32,26.18,62.68,11.41,98.01,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191316,Yes,Northwest,16,Organized,Caribbean,26.11,235.96,31.45,74.97,10.87,126.49,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191541,Yes,Northwest,16,Organized,Caribbean,13.62,226.69,25.25,68.98,13.67,91.19,--,--,--,--,--,--,495,7590,Clear Near,--,--
20210824,191602,,Northwest,16,Organized,Caribbean,12.98,238.8,23.33,68.91,10.79,81.11,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191623,,Northwest,16,Organized,Caribbean,11,191.8,24.84,65.55,20.37,91.37,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191644,,Northwest,16,Organized,Caribbean,24.78,228.41,26.92,61.58,6.3,125.24,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191704,,Northwest,16,Organized,Caribbean,15.08,236.52,24.08,70.22,10.09,90.95,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,191725,,Northwest,16,Organized,Caribbean,17.42,237.3,26.83,77.64,12.11,107.64,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200034,,Northwest,16,Organized,Caribbean,20.11,260.36,30.58,90.07,11.27,107.59,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200238,,Northwest,16,Organized,Caribbean,45.62,271.49,58.41,101.54,15.67,132.06,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200606,Yes,Northwest,16,Organized,Caribbean,32.05,258.79,41.77,95.54,14.42,135.36,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200627,Yes,Northwest,16,Organized,Caribbean,26.77,253.46,26.79,84.79,5.29,168.95,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200647,Yes,Northwest,16,Organized,Caribbean,19.66,232.98,29.31,83.43,15.88,122.29,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200708,Yes,Northwest,16,Organized,Caribbean,27.58,234.25,28.03,75.5,10.26,152.4,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200729,Yes,Northwest,16,Organized,Caribbean,34.77,246.99,32.79,78.74,7.19,178.75,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200750,Yes,Northwest,16,Organized,Caribbean,39.58,247.1,29.45,77.39,11.84,220.72,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200810,Yes,Northwest,16,Organized,Caribbean,26.44,227.14,27.27,68.89,10.17,143.38,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200831,Yes,Northwest,16,Organized,Caribbean,33.53,224.13,27.41,70.21,14.99,170.62,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200852,Yes,Northwest,16,Organized,Caribbean,33.54,235.76,29.55,66.58,7.15,184.95,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200913,Yes,Northwest,16,Organized,Caribbean,23.29,226.93,27.8,70.56,11.35,125.9,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200933,Yes,Northwest,16,Organized,Caribbean,25.09,224.85,26.61,70.66,11.64,140.46,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,200954,Yes,Northwest,16,Organized,Caribbean,28.71,227.28,28.54,73.02,12.75,150.93,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201015,Yes,Northwest,16,Organized,Caribbean,26.03,225.06,27.72,70.68,12.03,139.98,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201036,Yes,Northwest,16,Organized,Caribbean,29,230.32,29.8,74.12,12.15,148.55,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201056,Yes,Northwest,16,Organized,Caribbean,28.94,226.89,29.22,76.36,14.79,150.58,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201117,Yes,Northwest,16,Organized,Caribbean,46.65,234.73,33.4,75.91,19.65,196.86,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201138,Yes,Northwest,16,Organized,Caribbean,50.73,244.78,40.72,75.95,13.35,208.56,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201159,Yes,Northwest,16,Organized,Caribbean,50.76,254.31,47.82,85.15,9.76,187.17,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201219,Yes,Northwest,16,Organized,Caribbean,25.92,237.5,31.88,82.07,13.61,134.43,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201240,Yes,Northwest,16,Organized,Caribbean,27.77,228.92,24.86,70.11,10.09,165.97,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201301,Yes,Northwest,16,Organized,Caribbean,30.4,227.26,26.14,77.38,15.26,167.95,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201322,Yes,Northwest,16,Organized,Caribbean,29.37,229.95,24.38,73.65,12.07,175.71,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201342,Yes,Northwest,16,Organized,Caribbean,28.98,229.91,25.74,73.84,11.78,167.51,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201403,Yes,Northwest,16,Organized,Caribbean,25.47,233.02,25.83,74.63,9.62,151.69,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201424,Yes,Northwest,16,Organized,Caribbean,25.71,226.56,22.02,67,9.21,169.97,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201445,Yes,Northwest,16,Organized,Caribbean,24.7,225.72,23.11,69.11,9.82,156.53,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201505,Yes,Northwest,16,Organized,Caribbean,25.76,233.32,23.75,71.44,8.05,166.65,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201526,Yes,Northwest,16,Organized,Caribbean,25.24,236.54,24.69,74.5,7.81,159.56,--,--,--,--,--,--,495,7689,Clear Near,--,--
20210824,201547,Yes,Northwest,16,Organized,Caribbean,25.37,233.61,24.55,67.26,5.99,158.28,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201608,Yes,Northwest,16,Organized,Caribbean,32.1,208,24.43,70.03,21.5,158.45,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201628,Yes,Northwest,16,Organized,Caribbean,24.93,206.05,22.16,65.83,16.23,145.18,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201649,Yes,Northwest,16,Organized,Caribbean,21.11,218.7,25.29,75.94,15.34,132.35,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201710,Yes,Northwest,16,Organized,Caribbean,22.48,210.3,23.27,68.08,14.83,136.31,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201731,Yes,Northwest,16,Organized,Caribbean,23.64,211.83,23.71,75.65,17.67,143.5,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201751,Yes,Northwest,16,Organized,Caribbean,19.18,219.16,23.03,73.88,13.12,130.23,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201812,Yes,Northwest,16,Organized,Caribbean,17.92,232.03,24.57,82.15,12.77,126.9,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201833,Yes,Northwest,16,Organized,Caribbean,15.63,212.46,20.86,71.18,13.06,119.63,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201854,Yes,Northwest,16,Organized,Caribbean,21.31,216.61,21.85,75.08,14.23,143.81,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201914,Yes,Northwest,16,Organized,Caribbean,19.44,215.52,22.51,70.97,13.1,130.37,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201935,Yes,Northwest,16,Organized,Caribbean,17.23,219.14,21.01,75.62,12.5,130.65,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,201956,Yes,Northwest,16,Organized,Caribbean,24.88,190.55,21.89,79.1,26.46,140.19,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202017,Yes,Northwest,16,Organized,Caribbean,18.62,198.8,20.6,70.65,17.24,128.79,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202037,Yes,Northwest,16,Organized,Caribbean,18.42,209.78,22.63,74.93,16.23,128.52,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202058,Yes,Northwest,16,Organized,Caribbean,20.14,200.75,21.32,76.46,19.4,135.5,--,--,--,--,--,--,495,7689,Clear Near,--,--
20210824,202119,Yes,Northwest,16,Organized,Caribbean,20.59,228.14,21.63,77.56,10.77,147.45,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202140,Yes,Northwest,16,Organized,Caribbean,16.88,222.73,21.21,70.54,10.07,122,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202200,Yes,Northwest,16,Organized,Caribbean,9.75,209.75,20.88,77.15,15.98,103.85,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202221,Yes,Northwest,16,Organized,Caribbean,15.62,202.84,19.96,78.49,17.05,127.65,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202242,Yes,Northwest,16,Organized,Caribbean,26.82,295.36,18.58,80.02,15.86,338.02,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202303,Yes,Northwest,16,Organized,Caribbean,17.71,194.46,20.24,70.15,17.86,125.13,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202324,Yes,Northwest,16,Organized,Caribbean,18.3,214.63,20.74,78.98,14.91,138.09,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202344,Yes,Northwest,16,Organized,Caribbean,18.72,192.62,20.16,78.49,21.17,132.28,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202405,Yes,Northwest,16,Organized,Caribbean,31.25,149.94,18.54,71.27,39.34,122.41,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202426,Yes,Northwest,16,Organized,Caribbean,22.38,202.67,19.38,67.18,16.06,144.87,--,--,--,--,--,--,495,7623,Clear Near,--,--
20210824,202447,Yes,Northwest,16,Organized,Caribbean,24.83,182.39,20.14,70.52,25.48,135.22,--,--,--,--,--,--,495,7623,Clear Near,--,--